analysis_id,brief_description,dimension,paper_text,paper_location,code_text,code_file,code_lines,match_status,explanation
1,Kaplan–Meier curves in the primary cohort estimated the cumulative probability of time to first coded long COVID stratified by age group.,Test Specification,"The cumulative probability of coded long COVID was estimated, using the Kaplan-Meier approach, by age group and sex.","The cumulative probability of coded long COVID was estimated, using the Kaplan-Meier approach, by age group and","dat_age <- round_km(input_sex, ""lcovid_surv"", ""lcovid_cens"", ""cov_cat_age_group"", threshold=6)[...]surv_obj = map(data, ~{
        survfit(Surv(time, event) ~ 1, data = .x, conf.type=""log-log"")
      }),",analysis/figure_kaplan_meier_cohorts.R [...] analysis/functions/function_round_km.R,approx. 25-35 [...] approx. 28-38,match,"The paper specifies Kaplan–Meier estimation, and the code computes survival curves via survfit (Kaplan–Meier) grouped by age. This matches the stated test specification."
1,Kaplan–Meier curves in the primary cohort estimated the cumulative probability of time to first coded long COVID stratified by age group.,Variable Specification,"“The cumulative probability of coded long COVID was estimated, using the Kaplan-Meier approach, by age group and sex.”[...]“The outcome was clinically coded long COVID, constructed from the date of the first record of any of the 15 UK SNOMED-CT codes for long COVID… Time to the outcome event was defined as days from participant specific follow-up start date (Supplement, Table S1).”[...]“Where categorised, age groups were: 18-39, 40-59, 60-79, 80-105 years.”","“The cumulative probability of coded long COVID was estimated, using the Kaplan-Meier approach, by age group and sex.”","input <- input %>% dplyr::select(lcovid_surv, lcovid_cens, contains(""sex""), contains(""cov_cat_age""))[...]levels(input$cov_cat_age_group) <- c(""18-39"", ""40-59"", ""60-79"", ""80+"")[...]input_sex_m <- input %>% filter(cov_cat_sex == ""M"")[...]input_sex_f <- input %>% filter(cov_cat_sex == ""F"")[...]dat_age <- round_km(input_sex, ""lcovid_surv"", ""lcovid_cens"", ""cov_cat_age_group"", threshold=6)[...]ggplot(dat_age, 
       aes(x_date,y_prob, group = cov_cat_age_group, color=cov_cat_age_group, 
           linetype = cov_cat_age_group)) +[...]facet_grid(cols = vars(sex))",analysis/figure_kaplan_meier_cohorts.R,"18-23, 33-41, 62-74",match,"Both sources specify Kaplan–Meier estimates of time to first coded long COVID stratified by age group and sex; the code uses the same outcome/time variables and groupings. The age category label differs only cosmetically (""80+"" vs ""80-105"")."
1,Kaplan–Meier curves in the primary cohort estimated the cumulative probability of time to first coded long COVID stratified by age group.,Parameter Specification,"The cumulative probability of coded long COVID was estimated, using the Kaplan-Meier approach, by age group and sex.[...]Where categorised, age groups were: 18-39, 40-59, 60-79, 80-105 years.","The cumulative probability of coded long COVID was estimated, using the Kaplan-Meier approach, by age group and","input <- input %>% dplyr::select(lcovid_surv, lcovid_cens, contains(""sex""), contains(""cov_cat_age""))[...]levels(input$cov_cat_age_group) <- c(""18-39"", ""40-59"", ""60-79"", ""80+"")[...]dat_age <- round_km(input_sex, ""lcovid_surv"", ""lcovid_cens"", ""cov_cat_age_group"", threshold=6)",analysis/figure_kaplan_meier_cohorts.R,"12-16, 24-30",mismatch,"The paper specifies age groups ending at ""80-105 years"", whereas the code labels the last group as ""80+"" and applies rounding with threshold=6 for KM estimates, which the paper does not state. Thus, the parameterization differs between paper and code."
1,Kaplan–Meier curves in the primary cohort estimated the cumulative probability of time to first coded long COVID stratified by age group.,Inference Specification,"The cumulative probability of coded long COVID was estimated, using the Kaplan-Meier approach, by age group and sex.","The cumulative probability of coded long COVID was estimated, using the Kaplan-Meier approach, by age group and","surv_obj = map(data, ~{
        survfit(Surv(time, event) ~ 1, data = .x, conf.type=""log-log"")
      }),",analysis/functions/function_round_km.R,30-36,mismatch,"The paper does not specify any inference criteria (e.g., confidence intervals or alpha) for the Kaplan–Meier curves, whereas the code computes survival estimates with log-log confidence intervals. Therefore, the inference specification differs between paper and code."
1,Kaplan–Meier curves in the primary cohort estimated the cumulative probability of time to first coded long COVID stratified by age group.,Coding Specification,"Where categorised, age groups were: 18-39, 40-59, 60-79, 80-105 years.","Where categorised, age groups were: 18-39, 40-59, 60-79, 80-105 y","levels(input$cov_cat_age_group) <- c(""18-39"", ""40-59"", ""60-79"", ""80+"") [...] dat_age_m$sex <- ""Male"" [...] dat_age_f$sex <- ""Female""",analysis/figure_kaplan_meier_cohorts.R,"18-20, 47-53",match,"The code defines the same age-group structure as the paper (with the oldest category labeled ""80+"", matching 80–105 years) and labels sex as Male/Female for stratification. Thus, the coding specification aligns."
2,Kaplan–Meier curves in the primary cohort estimated the cumulative probability of time to first coded long COVID stratified by sex.,Test Specification,"The cumulative probability of coded long COVID was estimated, using the Kaplan-Meier approach, by age group and sex.","The cumulative probability of coded long COVID was estimated, using the Kaplan-Meier approach, by age group and","survfit(Surv(time, event) ~ 1, data = .x, conf.type=""log-log"")[...]dat_age <- round_km(input_sex, ""lcovid_surv"", ""lcovid_cens"", ""cov_cat_age_group"", threshold=6)",analysis/functions/function_round_km.R[...]analysis/figure_kaplan_meier_cohorts.R,≈32-38[...]≈24-30,match,"The paper specifies Kaplan–Meier estimation, and the code uses survival::survfit (Kaplan–Meier) and applies it stratified by age group with separate datasets by sex. Thus, the test specification matches."
2,Kaplan–Meier curves in the primary cohort estimated the cumulative probability of time to first coded long COVID stratified by sex.,Variable Specification,"“The cumulative probability of coded long COVID was estimated, using the Kaplan-Meier approach, by age group and sex.”[...]“The outcome was clinically coded long COVID, constructed from the date of the first record of any of the 15 UK SNOMED-CT codes for long COVID 6 in English primary care records, consisting of two diagnostic codes, three referral codes and 10 assessment codes (Supplement, Table S2). Time to the outcome event was defined as days from participant specific follow-up start date (Supplement, Table S1).”[...]“There is only one entry for sex in the EHR for each patient.”","“The cumulative probability of coded long COVID was estimated, using the Kaplan-Meier approach, by age group and sex.”","input <- input %>% dplyr::select(lcovid_surv, lcovid_cens, contains(""sex""), contains(""cov_cat_age""))[...]levels(input$cov_cat_age_group) <- c(""18-39"", ""40-59"", ""60-79"", ""80+"")[...]dat_age <- round_km(input_sex, ""lcovid_surv"", ""lcovid_cens"", ""cov_cat_age_group"", threshold=6)[...]input_sex_m <- input %>% filter(cov_cat_sex == ""M"")[...]input_sex_f <- input %>% filter(cov_cat_sex == ""F"")",analysis/figure_kaplan_meier_cohorts.R,1-80,match,"The paper specifies outcome (coded long COVID), time-to-event, and stratification by age group and sex; the code uses lcovid_surv/lcovid_cens and groups by cov_cat_age_group with separate male/female subsets. This matches the variable roles for the Kaplan–Meier analysis in the primary cohort."
2,Kaplan–Meier curves in the primary cohort estimated the cumulative probability of time to first coded long COVID stratified by sex.,Parameter Specification,"“The cumulative probability of coded long COVID was estimated, using the Kaplan-Meier approach, by age group and sex.”[...]“Where categorised, age groups were: 18-39, 40-59, 60-79, 80-105 years.”","“The cumulative probability of coded long COVID was estimated, using the Kaplan-Meier approach, by age group and sex.”","levels(input$cov_cat_age_group) <- c(""18-39"", ""40-59"", ""60-79"", ""80+"")[...]dat_age <- round_km(input_sex, ""lcovid_surv"", ""lcovid_cens"", ""cov_cat_age_group"", threshold=6)",analysis/figure_kaplan_meier_cohorts.R,"20-26, 36-44",mismatch,"The paper specifies KM stratification by age group and sex (with 18–39, 40–59, 60–79, 80–105), but the code applies an additional rounding parameter (threshold=6) not described in the paper and labels the oldest group as “80+.”"
2,Kaplan–Meier curves in the primary cohort estimated the cumulative probability of time to first coded long COVID stratified by sex.,Inference Specification,"The cumulative probability of coded long COVID was estimated, using the Kaplan-Meier approach, by age group and sex.","The cumulative probability of coded long COVID was estimated, using the Kaplan-Meier approach, by age group and","surv_obj = map(data, ~{
        survfit(Surv(time, event) ~ 1, data = .x, conf.type=""log-log"")
      }),",analysis/functions/function_round_km.R,32-44,unknown,"The paper does not state any inference criteria for the Kaplan–Meier curves. The code specifies the confidence interval type (conf.type=""log-log""), so alignment cannot be determined."
2,Kaplan–Meier curves in the primary cohort estimated the cumulative probability of time to first coded long COVID stratified by sex.,Coding Specification,"Where categorised, age groups were: 18-39, 40-59, 60-79, 80-105 years.","Where categorised, age groups were: 18-39, 40-59, 60-79, 80-105 y","levels(input$cov_cat_age_group) <- c(""18-39"", ""40-59"", ""60-79"", ""80+"")",analysis/figure_kaplan_meier_cohorts.R,20-28,mismatch,"The paper specifies the highest age group as ""80-105"" whereas the code uses ""80+"". This indicates a discrepancy in the age group coding/label used for the Kaplan–Meier curves."
