analysis_id,brief_description,dimension,paper_text,code_text,match_status,explanation
1,Calendar-time/region–adjusted pooled logistic regression comparing ChAdOx1 versus BNT162b2 for risk of a positive SARS-CoV-2 test with a vaccine-specific time-varying effect.,Test Specification,We compared the effectiveness of a first dose of ChAdOx1 versus BNT162b2 using pooled logistic regression (PLR) 6 7 with time since vaccination as the timescale and with the outcome risk estimated each day.,"# fits some pooled logistic regression models, with different adjustment sets",match,Both the paper and the code specify using pooled logistic regression for the analysis. The code file explicitly states it fits pooled logistic regression models.
1,Calendar-time/region–adjusted pooled logistic regression comparing ChAdOx1 versus BNT162b2 for risk of a positive SARS-CoV-2 test with a vaccine-specific time-varying effect.,Variable Specification,"“Three outcomes were defined: positive SARS-CoV-2 test; covid-19 related A&E attendance; and unplanned covid-19 related hospital admission. Positive SARS-CoV-2 tests were identified using SGSS records and based on swab date. Both polymerase chain reaction (PCR) and lateral flow positive tests were included, without differentiation between symptomatic and asymptomatic infection.” [...] “The PLR model included vaccine type, and a vaccine-specific three-knot restricted cubic spline for time since vaccination.” [...] “Three models were fit for each outcome, with progressive adjustment for confounders 1 : adjusting for region-specific calendar-time effects, by including a two-knot restricted cubic spline for the date of vaccination and its interaction with region 2 ; additionally adjusting for demographic characteristics 3 ; additionally adjusting for clinical characteristics.”","""postest"", ""positive_test_date"", ""Positive SARS-CoV-2 test"", [...] formula_timesincevax_ns <- . ~ . + vax1_az + vax1_az:nsevents(tstop, outcome_event, 4) [...] formula_spacetime <- . ~ . + ns(vax1_day, 3)*region [...] formula_demog <- . ~ . + poly(age, degree=2, raw=TRUE) + sex + imd_Q5 + ethnicity_combined + rural_urban_group [...] formula_comorbs <- . ~ . +
  prior_covid_infection +
  prior_tests_cat +
  multimorb +
  learndis +
  sev_mental",match,"The code implements the same outcome, predictor, and control variables as described, including a vaccine-specific time-varying effect and region-specific calendar-time adjustment plus demographic and clinical covariates. Thus, the variable specification matches."
1,Calendar-time/region–adjusted pooled logistic regression comparing ChAdOx1 versus BNT162b2 for risk of a positive SARS-CoV-2 test with a vaccine-specific time-varying effect.,Parameter Specification,"“We compared the effectiveness of a first dose of ChAdOx1 versus BNT162b2 using pooled logistic regression (PLR) … with time since vaccination as the timescale and with the outcome risk estimated each day. The effect is permitted to vary over the timescale to account for the potential time-varying differences in vaccine protection between the two brands.” [...] “The PLR model included vaccine type, and a vaccine-specific three-knot restricted cubic spline for time since vaccination. Knot locations were based on quartiles of the event times.” [...] “Standard errors for the PLR model were obtained using the clustered sandwich estimator to account for within-participant clustering. Confidence intervals for the vaccinespecific marginal cumulative incidence, and their difference, were obtained using the delta method (that is, a first-order Taylor series approximation of the variance).” [...] “Three models were fit for each outcome, with progressive adjustment for confounders 1 : adjusting for region-specific calendartime effects, by including a two-knot restricted cubic spline for the date of vaccination and its interaction with region …” [...] “PLR models are computationally expensive to fit … a sampling strategy was used such that all those who experienced the event of interest are selected (to retain statistical power), and a random sample of 50 000 event-free participants are selected. Persontime is weighted by the inverse of the sampling probability to recover the characteristics of the complete cohort.” [...] “Using an intention-to-treat approach, comparative effectiveness estimates beyond 14 weeks were considered to be second-dose effects.”","alltimes <- expand(data_tte, patient_id, times=as.integer(full_seq(c(1, tte_stop),1))) [...] formula_timesincevax_ns <- . ~ . + vax1_az + vax1_az:nsevents(tstop, outcome_event, 4) [...] nsevents <- function(x, events, df){ # this is the same as the `ns` function, # except the knot locations are chosen # based on the event times only, not on all person-time [...] ns(x, knots=q[-c(1, df+1)], Boundary.knots = q[c(1, df+1)]) } [...] formula_spacetime <- . ~ . + ns(vax1_day, 3)*region [...] vcov <- vcovCL(plrmod, cluster = cluster, type = ""HC0"") [...] robustSEs <- lmtest::coeftest(model, vcov. = sandwich::vcovCL(model, cluster = cluster, type = ""HC0"")) [...] ""Confidence intervals for the risk-adjusted survival rates are calculated using the delta method (i.e, a first-order Taylor series approximation of the variance of the cumulative incidence)."" [...] action_model(""postest"", ""timesincevax"", ""1"", ""plr"", 50000) [...] sample_outcome = sample_nonoutcomes_n(!is.na(tte_outcome), patient_id, samplesize_nonoutcomes_n) [...] sample_weights <- function(had_outcome, sampled){
  case_when(
    had_outcome ~ 1,
    !had_outcome & !sampled ~ 0,
    !had_outcome & sampled ~ sum(!had_outcome)/sum((sampled) & !had_outcome),
    TRUE ~ NA_real_
  )
}",match,"The code implements daily-risk PLR with a vaccine-specific spline whose knots are based on event times, uses clustered sandwich SEs, delta-method CIs for marginal curves, and samples 50,000 event-free with inverse-probability weights, matching the paper’s parameter specifications. Region-specific calendar-time adjustment is included via a spline-by-region interaction as described."
1,Calendar-time/region–adjusted pooled logistic regression comparing ChAdOx1 versus BNT162b2 for risk of a positive SARS-CoV-2 test with a vaccine-specific time-varying effect.,Inference Specification,"Confidence intervals for the vaccinespecific marginal cumulative incidence, and their difference, were obtained using the delta method (that is, a first-order Taylor series approximation of the variance). [...] By six weeks (42 days) post-vaccination, before receipt of the second dose for the vast majority of participants, the ChAdOx1 versus BNT162b2 absolute risk difference per 1000 people (fig 2) for a positive SARS-CoV-2 test was -0.24 (95% confidence interval -1.71 to 1.22)","survival.ll = pmax(0, survival+qnorm(0.025)*survivalse) - pmax(0, survival+qnorm(0.975)*survivalse - 1),
        survival.ul = pmin(1, survival+qnorm(0.975)*survivalse) + pmin(0, survival+qnorm(0.025)*survivalse), [...] diff.ll = diff+qnorm(0.025)*diff.se,
      diff.ul = diff+qnorm(0.975)*diff.se,",match,"The paper specifies delta-method confidence intervals and reports 95% CIs. The code computes SEs for cumulative measures and constructs 95% CIs using qnorm(0.025/0.975), matching the paper’s inference approach."
1,Calendar-time/region–adjusted pooled logistic regression comparing ChAdOx1 versus BNT162b2 for risk of a positive SARS-CoV-2 test with a vaccine-specific time-varying effect.,Coding Specification,"The PLR model included vaccine type, and a vaccine-specific three-knot restricted cubic spline for time since vaccination. Knot locations were based on quartiles of the event times.[...]adjusting for region-specific calendartime effects, by including a two-knot restricted cubic spline for the date of vaccination and its interaction with region","vax1_az = (vax1_type==""az"")*1[...]formula_timesincevax_ns <- . ~ . + vax1_az + vax1_az:nsevents(tstop, outcome_event, 4)[...]nsevents <- function(x, events, df){
  # this is the same as the `ns` function,
  # except the knot locations are chosen
  # based on the event times only, not on all person-time
  probs <- seq(0,df)/df
  q <- quantile(x[events==1], probs=probs)
  ns(x, knots=q[-c(1, df+1)], Boundary.knots = q[c(1, df+1)])
}[...]formula_spacetime <- . ~ . + ns(vax1_day, 3)*region",match,"The paper specifies a vaccine-specific restricted cubic spline for time since vaccination with knots based on event-time quartiles and a spline-by-region interaction. The code codes vaccine as 0/1 (vax1_az), interacts it with a spline built from event-time quantiles via nsevents(), and includes ns(vax1_day, 3)*region."
2,"Pooled logistic regression for positive SARS-CoV-2 test comparing ChAdOx1 versus BNT162b2 with vaccine-specific time spline, adjusted for calendar time by region and additional demographic characteristics.",Test Specification,We compared the effectiveness of a first dose of ChAdOx1 versus BNT162b2 using pooled logistic regression (PLR) 6 7 with time since vaccination as the timescale and with the outcome risk estimated each day.,"# fits some pooled logistic regression models, with different adjustment sets",match,Both the paper and the code describe using pooled logistic regression for this analysis. The code’s header explicitly states it fits pooled logistic regression models.
2,"Pooled logistic regression for positive SARS-CoV-2 test comparing ChAdOx1 versus BNT162b2 with vaccine-specific time spline, adjusted for calendar time by region and additional demographic characteristics.",Variable Specification,"“Three outcomes were defined: positive SARS-CoV-2 test; covid-19 related A&E attendance; and unplanned covid-19 related hospital admission. Positive SARS-CoV-2 tests were identified using SGSS records and based on swab date. Both polymerase chain reaction (PCR) and lateral flow positive tests were included, without differentiation between symptomatic and asymptomatic infection.” [...] “The PLR model included vaccine type, and a vaccine-specific three-knot restricted cubic spline for time since vaccination.” [...] “Three models were fit for each outcome, with progressive adjustment for confounders 1 : adjusting for region-specific calendar-time effects, by including a two-knot restricted cubic spline for the date of vaccination and its interaction with region 2 ; additionally adjusting for demographic characteristics 3 ; additionally adjusting for clinical characteristics.” [...] “Participant characteristics used to describe the cohort and for confounder adjustment include age, sex (male or female), English Index of Multiple Deprivation (IMD, grouped by quintiles), ethnicity (Black, Mixed, South Asian, White, Other, as per the UK census), NHS region (East of England, Midlands, London, North East and Yorkshire, North West, South East, South West), number of conditions in the clinically ""at risk"" (but not clinically extremely vulnerable) classification, as per national prioritisation guidelines, the number of SARS-CoV-2 tests (positive or negative) in the 90 days before the study start date (via SGSS), rurality (urban conurbation, urban city or town, rural town or village), evidence of prior SARS-CoV-2 infection (positive test or covid-19 related hospitalisation), learning disabilities, and severe mental illness.”","analysis/process/design.R:
""metadata_outcomes <- tribble(
  ~outcome, ~outcome_var, ~outcome_descr,
  \""test\"", \""covid_test_date\"", \""SARS-CoV-2 test\"",
  \""postest\"", \""positive_test_date\"", \""Positive SARS-CoV-2 test\"",
  \""emergency\"", \""emergency_date\"", \""A&E attendance\"",
  \""covidemergency\"", \""emergency_covid_date\"", \""COVID-19 A&E attendance\"",
  \""admitted\"", \""admitted_date\"", \""Unplanned hospitalisation\"",
  \""covidadmitted\"", \""covidadmitted_date\"", \""COVID-19 hospitalisation\"",
  \""covidcc\"", \""covidcc_date\"", \""COVID-19 critical care\"",
  \""coviddeath\"", \""coviddeath_date\"", \""COVID-19 death\"",
  \""noncoviddeath\"", \""noncoviddeath_date\"", \""Non-COVID-19 death\"",
  \""death\"", \""death_date\"", \""Any death\"",
  \""seconddose\"", \""covid_vax_any_2_date\"", \""Second dose\"",
)"" [...] ""formula_demog <- . ~ . + poly(age, degree=2, raw=TRUE) + sex + imd_Q5 + ethnicity_combined + rural_urban_group"" [...] ""formula_comorbs <- . ~ . +
  prior_covid_infection +
  prior_tests_cat +
  multimorb +
  learndis +
  sev_mental""
analysis/models/model_plr.R:
""formula_outcome <- outcome_event ~ 1"" [...] ""if(timescale==\""timesincevax\""){\n  formula_timescale_pw <- . ~ . + timesincevax_pw # spline for timescale only\n  formula_timescale_ns <- . ~ . + nsevents(tstop, outcome_event, 4) # spline for timescale only\n  formula_spacetime <- . ~ . + ns(vax1_day, 3)*region # spline for space-time adjustments\n\n  formula_timesincevax_pw <- . ~ . + vax1_az + vax1_az:timesincevax_pw\n  formula_timesincevax_ns <- . ~ . + vax1_az + vax1_az:nsevents(tstop, outcome_event, 4)\n\n}"" [...] ""formula_vaxonly_ns <- formula_outcome  %>% update(formula_timesincevax_ns) %>% update(formula_timescale_ns)"" [...] ""formula2_ns <- formula_vaxonly_ns %>% update(formula_spacetime) %>% update(formula_demog)"" [...] ""formula3_ns <- formula_vaxonly_ns %>% update(formula_spacetime) %>% update(formula_demog) %>% update (formula_comorbs) %>% update(formula_exclude_prior_infection)""",match,"Both sources specify the outcome as positive SARS-CoV-2 test, the predictor as vaccine type with a vaccine-specific spline for time since vaccination, and controls including region-specific calendar time plus demographic and clinical covariates matching the listed characteristics. The code implements these variables directly in the PLR formulas."
2,"Pooled logistic regression for positive SARS-CoV-2 test comparing ChAdOx1 versus BNT162b2 with vaccine-specific time spline, adjusted for calendar time by region and additional demographic characteristics.",Parameter Specification,"“The PLR model included vaccine type, and a vaccine-specific three-knot restricted cubic spline for time since vaccination. Knot locations were based on quartiles of the event times.” [...] “adjusting for region-specific calendartime effects, by including a two-knot restricted cubic spline for the date of vaccination and its interaction with region.” [...] “Standard errors for the PLR model were obtained using the clustered sandwich estimator to account for within-participant clustering. Confidence intervals for the vaccinespecific marginal cumulative incidence, and their difference, were obtained using the delta method (that is, a first-order Taylor series approximation of the variance).” [...] “a sampling strategy was used such that all those who experienced the event of interest are selected (to retain statistical power), and a random sample of 50 000 event-free participants are selected. Persontime is weighted by the inverse of the sampling probability to recover the characteristics of the complete cohort.”","nsevents <- function(x, events, df){
  # this is the same as the `ns` function,
  # except the knot locations are chosen
  # based on the event times only, not on all person-time
  probs <- seq(0,df)/df
  q <- quantile(x[events==1], probs=probs)
  ns(x, knots=q[-c(1, df+1)], Boundary.knots = q[c(1, df+1)])
} [...] formula_timesincevax_ns <- . ~ . + vax1_az + vax1_az:nsevents(tstop, outcome_event, 4) [...] formula_spacetime <- . ~ . + ns(vax1_day, 3)*region [...] robustSEs <- lmtest::coeftest(model, vcov. = sandwich::vcovCL(model, cluster = cluster, type = ""HC0"")) %>% broom::tidy(conf.int=FALSE, exponentiate=exponentiate)
  robustCIs <- lmtest::coefci(model, vcov. = sandwich::vcovCL(model, cluster = cluster, type = ""HC0""), level = conf.level) %>% tibble::as_tibble(rownames=""term"") [...] vcov <- vcovCL(plrmod, cluster = cluster, type = ""HC0"") [...] plrmod0 <- parglm(
  formula = formula0_pw,
  data = data_plr,
  weights = sample_weights,
  family = binomial,
  control = parglmparams,
  na.action = ""na.fail"",
  model = FALSE
) [...] sample_weights <- function(had_outcome, sampled){
  case_when(
    had_outcome ~ 1,
    !had_outcome & !sampled ~ 0,
    !had_outcome & sampled ~ sum(!had_outcome)/sum((sampled) & !had_outcome),
    TRUE ~ NA_real_
  )
} [...] cmlinc_variance <- function(model, vcov, newdata, id, time, weights){
  # calculate variance of adjusted survival / adjusted cumulative incidence
  ...
  partial_derivative <- rowsum(wgtcmlsum, time)
  variance <- rowSums(crossprod(t(partial_derivative), vcov) * partial_derivative) # t x 1
} [...] riskdiff_variance <- function(model, vcov, newdata0, newdata1, id, time, weights){
  # calculate variance of adjusted survival / adjusted cumulative incidence
  ...
  variance <- rowSums(crossprod(t(partial_derivative), vcov) * partial_derivative) # t x 1
} [...] action_model(""postest"", ""timesincevax"", ""1"", ""plr"", 50000)",match,"The code implements the paper’s parameters: event-time quartile knots for a vaccine-specific restricted cubic spline, region-specific calendar-time spline interacting with region, clustered sandwich SEs, delta-method variances for marginal curves, and sampling 50,000 non-events with inverse-probability weighting."
2,"Pooled logistic regression for positive SARS-CoV-2 test comparing ChAdOx1 versus BNT162b2 with vaccine-specific time spline, adjusted for calendar time by region and additional demographic characteristics.",Inference Specification,"Standard errors for the PLR model were obtained using the clustered sandwich estimator to account for within-participant clustering. Confidence intervals for the vaccinespecific marginal cumulative incidence, and their difference, were obtained using the delta method (that is, a first-order Taylor series approximation of the variance).","# calculates robust CIs taking into account patient-level clustering [...] vcov <- vcovCL(plrmod, cluster = cluster, type = ""HC0"") [...] # calculate variance of adjusted survival / adjusted cumulative incidence [...] variance <- rowSums(crossprod(t(partial_derivative), vcov) * partial_derivative) # t x 1 [...] survival.ll = pmax(0, survival+qnorm(0.025)*survivalse) - pmax(0, survival+qnorm(0.975)*survivalse - 1),
        survival.ul = pmin(1, survival+qnorm(0.975)*survivalse) + pmin(0, survival+qnorm(0.025)*survivalse) [...] diff.ll = diff+qnorm(0.025)*diff.se,
      diff.ul = diff+qnorm(0.975)*diff.se,",match,The paper specifies delta-method CIs for marginal cumulative incidence with clustered sandwich SEs; the code computes cluster-robust vcov (vcovCL) and derives CIs via partial-derivative variance (delta method) with normal quantiles.
2,"Pooled logistic regression for positive SARS-CoV-2 test comparing ChAdOx1 versus BNT162b2 with vaccine-specific time spline, adjusted for calendar time by region and additional demographic characteristics.",Coding Specification,"“The PLR model included vaccine type, and a vaccine-specific three-knot restricted cubic spline for time since vaccination.” [...] “Knot locations were based on quartiles of the event times.”","vax1_az = (vax1_type==""az"")*1 [...] nsevents <- function(x, events, df){
  # this is the same as the `ns` function,
  # except the knot locations are chosen
  # based on the event times only, not on all person-time
  probs <- seq(0,df)/df
  q <- quantile(x[events==1], probs=probs)
  ns(x, knots=q[-c(1, df+1)], Boundary.knots = q[c(1, df+1)])
} [...] formula_timesincevax_ns <- . ~ . + vax1_az + vax1_az:nsevents(tstop, outcome_event, 4)",match,"The paper describes a vaccine-specific spline for time since vaccination with knots at event-time quartiles, and the code implements this via nsevents with AZ coded as 1 and its interaction with the spline. This matches the stated coding approach."
